country,zipcode,city,state,lat,lng
US,34034,APO,AA,33.0364,-82.2493
US,99553,Akutan,AK,54.143,-165.7854
US,99571,Cold Bay,AK,55.1858,-162.7211
US,99583,False Pass,AK,54.841,-163.4368
US,99612,King Cove,AK,55.0628,-162.3056
US,99661,Sand Point,AK,55.3192,-160.4914
US,99546,Adak,AK,51.88,-176.6581
US,99547,Atka,AK,52.1224,-174.4301
US,99591,Saint George Island,AK,56.5944,-169.6186
US,99638,Nikolski,AK,52.9883,-168.7884
US,99660,Saint Paul Island,AK,57.1842,-170.2764
US,99685,Unalaska,AK,53.8871,-166.5199
US,99692,Dutch Harbor,AK,53.8898,-166.5422
US,99501,Anchorage,AK,61.2116,-149.8761
US,99502,Anchorage,AK,61.1661,-149.96
US,99503,Anchorage,AK,61.19,-149.8938
US,99504,Anchorage,AK,61.2037,-149.7447
US,99505,Fort Richardson,AK,61.2753,-149.6755
US,99506,Elmendorf Afb,AK,61.2515,-149.8127
US,99507,Anchorage,AK,61.1535,-149.8289
US,99508,Anchorage,AK,61.206,-149.8101
US,99509,Anchorage,AK,61.2181,-149.9003
US,99510,Anchorage,AK,61.1446,-149.8784
US,99511,Anchorage,AK,61.0683,-149.8005
US,99513,Anchorage,AK,61.2149,-149.8862
US,99514,Anchorage,AK,61.2181,-149.9003
US,99515,Anchorage,AK,61.1194,-149.8974
US,99516,Anchorage,AK,61.1054,-149.78
US,99517,Anchorage,AK,61.1901,-149.9361
US,99518,Anchorage,AK,61.1549,-149.8866
US,99519,Anchorage,AK,61.1089,-149.4403
US,99520,Anchorage,AK,61.2181,-149.9003
US,99521,Anchorage,AK,61.2181,-149.9003
US,99522,Anchorage,AK,61.2181,-149.9003
US,99523,Anchorage,AK,61.2181,-149.9003
US,99524,Anchorage,AK,61.2181,-149.9003
US,99529,Anchorage,AK,61.1515,-149.9443
US,99530,Anchorage,AK,61.1515,-149.9443
US,99540,Indian,AK,61.1089,-149.4403
US,99567,Chugiak,AK,61.4098,-149.4537
US,99577,Eagle River,AK,61.3114,-149.5085
US,99587,Girdwood,AK,60.9577,-149.1406
US,99599,Anchorage,AK,61.1872,-149.8804
US,99695,Anchorage,AK,61.1089,-149.4403
US,99545,Kongiganak,AK,59.9599,-162.8919
US,99551,Akiachak,AK,60.9094,-161.4314
US,99552,Akiak,AK,60.9122,-161.2139
US,99557,Aniak,AK,61.5783,-159.5222
US,99559,Bethel,AK,60.7922,-161.7558
US,99561,Chefornak,AK,60.1537,-164.2103
US,99575,Crooked Creek,AK,61.8181,-158.0025
US,99578,Eek,AK,60.2151,-162.0323
US,99589,Goodnews Bay,AK,59.1189,-161.5875
US,99607,Kalskag,AK,61.541,-160.3261
US,99609,Kasigluk,AK,60.8956,-162.5181
US,99614,Kipnuk,AK,59.9232,-164.101
US,99621,Kwethluk,AK,60.8122,-161.4358
US,99622,Kwigillingok,AK,59.8644,-163.1342
US,99626,Lower Kalskag,AK,61.5138,-160.36
US,99630,Mekoryuk,AK,60.3657,-166.2836
US,99634,Napakiak,AK,60.6967,-161.9519
US,99637,Toksook Bay,AK,60.5338,-165.1037
US,99641,Nunapitchuk,AK,60.8969,-162.4594
US,99651,Platinum,AK,59.0131,-161.8164
US,99655,Quinhagak,AK,59.7381,-161.8749
US,99656,Red Devil,AK,61.7611,-157.3125
US,99668,Sleetmute,AK,61.6346,-157.1183
US,99679,Tuluksak,AK,61.1088,-160.9389
US,99680,Tuntutuliak,AK,60.3431,-162.6631
US,99681,Tununak,AK,60.5856,-165.2558
US,99690,Nightmute,AK,60.4794,-164.7239
US,99613,King Salmon,AK,58.6883,-156.6614
US,99633,Naknek,AK,58.783,-156.8992
US,99670,South Naknek,AK,58.6639,-156.9756
US,99704,Clear,AK,64.2966,-149.1608
US,99729,Cantwell,AK,63.3955,-148.8973
US,99743,Healy,AK,63.9171,-149.0111
US,99744,Anderson,AK,64.3442,-149.1869
US,99755,Denali National Park,AK,63.5436,-149.9867
US,99555,Aleknagik,AK,59.2697,-158.6199
US,99569,Clarks Point,AK,58.8173,-158.5299
US,99576,Dillingham,AK,59.0402,-158.5231
US,99580,Ekwok,AK,59.3628,-157.4782
US,99628,Manokotak,AK,59.0096,-158.9897
US,99636,New Stuyahok,AK,59.4882,-157.2905
US,99678,Togiak,AK,59.0619,-160.3764
US,99701,Fairbanks,AK,64.8378,-147.7164
US,99702,Eielson Afb,AK,64.6735,-147.0805
US,99703,Fort Wainwright,AK,64.8283,-147.6557
US,99705,North Pole,AK,64.7805,-147.3694
US,99706,Fairbanks,AK,64.8521,-147.9377
US,99707,Fairbanks,AK,64.8378,-147.7164
US,99708,Fairbanks,AK,64.9475,-147.8564
US,99709,Fairbanks,AK,64.8544,-147.8469
US,99710,Fairbanks,AK,64.8378,-147.7164
US,99711,Fairbanks,AK,64.8378,-147.7164
US,99712,Fairbanks,AK,64.9109,-147.5105
US,99714,Salcha,AK,64.5091,-146.953
US,99716,Two Rivers,AK,64.8746,-146.8982
US,99725,Ester,AK,64.871,-148.0949
US,99775,Fairbanks,AK,64.8591,-147.8267
US,99790,Fairbanks,AK,64.8378,-147.7164
US,99827,Haines,AK,59.2519,-135.542
US,99801,Juneau,AK,58.3628,-134.5294
US,99802,Juneau,AK,58.3019,-134.4197
US,99803,Juneau,AK,58.3019,-134.4197
US,99811,Juneau,AK,58.3019,-134.4197
US,99812,Juneau,AK,58.3271,-134.4742
US,99821,Auke Bay,AK,58.4494,-134.7003
US,99824,Douglas,AK,58.2756,-134.395
US,99850,Juneau,AK,58.3019,-134.4197
US,99556,Anchor Point,AK,59.8371,-151.7078
US,99568,Clam Gulch,AK,60.2311,-151.3936
US,99572,Cooper Landing,AK,60.4767,-149.8235
US,99603,Homer,AK,59.5374,-151.2356
US,99605,Hope,AK,60.8726,-149.4683
US,99610,Kasilof,AK,60.3164,-151.2896
US,99611,Kenai,AK,60.6145,-151.2546
US,99631,Moose Pass,AK,60.6148,-149.4056
US,99635,Nikiski,AK,60.7007,-151.2766
US,99639,Ninilchik,AK,60.0108,-151.6396
US,99663,Seldovia,AK,59.4495,-151.7009
US,99664,Seward,AK,60.1329,-149.3985
US,99669,Soldotna,AK,60.4818,-151.1358
US,99672,Sterling,AK,60.5136,-150.8532
US,99682,Tyonek,AK,61.0681,-151.1369
US,99901,Ketchikan,AK,55.372,-131.6832
US,99928,Ward Cove,AK,55.3954,-131.6754
US,99950,Ketchikan,AK,55.3422,-131.6478
US,99550,Port Lions,AK,57.8675,-152.8822
US,99608,Karluk,AK,57.5689,-154.4551
US,99615,Kodiak,AK,57.6036,-153.3751
US,99619,Kodiak,AK,57.79,-152.4072
US,99624,Larsen Bay,AK,57.54,-153.9786
US,99643,Old Harbor,AK,57.2028,-153.3039
US,99644,Ouzinkie,AK,57.9236,-152.5022
US,99697,Kodiak,AK,57.79,-152.4072
US,99548,Chignik Lake,AK,56.2448,-158.7578
US,99549,Port Heiden,AK,56.9643,-158.5664
US,99564,Chignik,AK,56.3016,-158.4157
US,99565,Chignik Lagoon,AK,58.2687,-156.6484
US,99579,Egegik,AK,58.2062,-157.3422
US,99606,Iliamna,AK,59.7525,-154.8236
US,99625,Levelock,AK,59.2905,-156.6503
US,99640,Nondalton,AK,59.9736,-154.8458
US,99647,Pedro Bay,AK,59.8681,-154.0757
US,99648,Perryville,AK,55.9453,-159.2593
US,99649,Pilot Point,AK,57.5952,-157.4493
US,99653,Port Alsworth,AK,60.2025,-154.3128
US,99623,Wasilla,AK,61.5463,-149.5901
US,99629,Wasilla,AK,61.5841,-149.4436
US,99645,Palmer,AK,61.6303,-148.9872
US,99652,Big Lake,AK,61.523,-149.7288
US,99654,Wasilla,AK,61.5923,-149.3959
US,99667,Skwentna,AK,61.9903,-151.3978
US,99674,Sutton,AK,61.7327,-148.7837
US,99676,Talkeetna,AK,62.2605,-150.1101
US,99683,Trapper Creek,AK,62.3167,-150.2314
US,99687,Wasilla,AK,61.5313,-149.4784
US,99688,Willow,AK,61.8966,-150.0038
US,99694,Houston,AK,61.6303,-149.8181
US,99659,Saint Michael,AK,63.4776,-162.1091
US,99671,Stebbins,AK,63.5222,-162.2881
US,99684,Unalakleet,AK,63.8835,-160.7884
US,99739,Elim,AK,64.6217,-162.2604
US,99742,Gambell,AK,63.7766,-171.7017
US,99753,Koyuk,AK,64.9319,-161.1569
US,99762,Nome,AK,64.5011,-165.4064
US,99769,Savoonga,AK,63.6797,-170.4709
US,99771,Shaktoolik,AK,64.3755,-161.1746
US,99772,Shishmaref,AK,66.2306,-166.1373
US,99778,Teller,AK,65.2402,-166.3833
US,99783,Wales,AK,65.6092,-168.0875
US,99784,White Mountain,AK,64.7028,-163.4219
US,99785,Brevig Mission,AK,65.3342,-166.4786
US,99721,Anaktuvuk Pass,AK,68.1433,-151.7358
US,99723,Barrow,AK,71.2346,-156.8174
US,99734,Prudhoe Bay,AK,70.2922,-148.6694
US,99747,Kaktovik,AK,70.1319,-143.6239
US,99759,Point Lay,AK,69.7439,-163.0084
US,99766,Point Hope,AK,68.3486,-166.7347
US,99782,Wainwright,AK,70.6369,-160.0383
US,99789,Nuiqsut,AK,70.1927,-150.9971
US,99791,Atqasuk,AK,70.4947,-157.4411
US,99727,Buckland,AK,65.9789,-161.1262
US,99736,Deering,AK,66.0737,-162.714
US,99749,Kiana,AK,66.975,-160.4228
US,99750,Kivalina,AK,67.7269,-164.5333
US,99751,Kobuk,AK,66.9072,-156.8811
US,99752,Kotzebue,AK,66.8985,-162.5981
US,99761,Noatak,AK,67.5711,-162.9653
US,99763,Noorvik,AK,66.8364,-161.0441
US,99770,Selawik,AK,66.6039,-160.0069
US,99773,Shungnak,AK,66.8881,-157.1364
US,99786,Ambler,AK,67.0861,-157.8514
US,99903,Meyers Chuck,AK,55.7408,-132.2564
US,99918,Coffman Cove,AK,55.9524,-132.7503
US,99919,Thorne Bay,AK,55.6609,-132.5138
US,99921,Craig,AK,55.4732,-133.1171
US,99922,Hydaburg,AK,55.2087,-132.8259
US,99923,Hyder,AK,55.9169,-130.0247
US,99925,Klawock,AK,55.5526,-133.0555
US,99926,Metlakatla,AK,55.1215,-131.579
US,99927,Point Baker,AK,56.3528,-133.6211
US,99835,Sitka,AK,57.0514,-135.3166
US,99689,Yakutat,AK,59.812,-139.5505
US,99820,Angoon,AK,57.5005,-134.586
US,99825,Elfin Cove,AK,58.1944,-136.3433
US,99826,Gustavus,AK,58.4284,-135.7615
US,99829,Hoonah,AK,58.0977,-135.4316
US,99832,Pelican,AK,57.9608,-136.2275
US,99840,Skagway,AK,59.4685,-135.3018
US,99841,Tenakee Springs,AK,57.7808,-135.2189
US,99731,Fort Greely,AK,63.952,-146.451
US,99732,Chicken,AK,64.0733,-141.9361
US,99737,Delta Junction,AK,64.0378,-145.7322
US,99738,Eagle,AK,64.7881,-141.2
US,99764,Northway,AK,62.9617,-141.9372
US,99776,Tanacross,AK,63.3853,-143.3464
US,99780,Tok,AK,63.3367,-142.9856
US,99566,Chitina,AK,61.471,-144.991
US,99573,Copper Center,AK,61.977,-145.3297
US,99574,Cordova,AK,60.5362,-145.7534
US,99586,Gakona,AK,62.6682,-144.1105
US,99588,Glennallen,AK,62.1039,-145.6617
US,99677,Tatitlek,AK,60.8906,-146.6703
US,99686,Valdez,AK,61.101,-146.9
US,99693,Whittier,AK,60.7734,-148.6839
US,99554,Alakanuk,AK,62.6944,-164.6475
US,99563,Chevak,AK,61.529,-165.5905
US,99581,Emmonak,AK,62.7818,-164.5335
US,99585,Marshall,AK,61.9287,-162.268
US,99604,Hooper Bay,AK,61.527,-166.1151
US,99620,Kotlik,AK,63.0295,-163.5542
US,99632,Mountain Village,AK,62.1123,-163.6644
US,99650,Pilot Station,AK,61.9462,-162.8747
US,99657,Russian Mission,AK,61.7744,-161.3939
US,99658,Saint Marys,AK,62.1172,-163.2376
US,99662,Scammon Bay,AK,61.845,-165.5819
US,99666,Sheldon Point,AK,62.1172,-163.2376
US,99830,Kake,AK,56.9736,-133.936
US,99833,Petersburg,AK,56.8271,-133.1607
US,99836,Port Alexander,AK,56.2497,-134.6444
US,99929,Wrangell,AK,56.4335,-132.3529
US,99558,Anvik,AK,62.6561,-160.2067
US,99590,Grayling,AK,62.9036,-160.0647
US,99602,Holy Cross,AK,62.1926,-159.8251
US,99627,Mc Grath,AK,62.9457,-155.5712
US,99665,Shageluk,AK,62.6822,-159.5619
US,99675,Takotna,AK,62.9886,-156.0642
US,99691,Nikolai,AK,63.0133,-154.375
US,99720,Allakaket,AK,66.5432,-152.7122
US,99722,Arctic Village,AK,68.1269,-145.5378
US,99724,Beaver,AK,66.3594,-147.3964
US,99726,Bettles Field,AK,65.2264,-151.0251
US,99730,Central,AK,65.4681,-144.7489
US,99733,Circle,AK,65.8245,-144.0826
US,99740,Fort Yukon,AK,66.5647,-145.2739
US,99741,Galena,AK,64.7333,-156.9275
US,99745,Hughes,AK,66.0382,-154.2644
US,99746,Huslia,AK,65.6899,-156.292
US,99748,Kaltag,AK,64.3305,-158.7243
US,99754,Koyukuk,AK,64.8803,-157.7008
US,99756,Manley Hot Springs,AK,65.0011,-150.6339
US,99757,Lake Minchumina,AK,63.8828,-152.3122
US,99758,Minto,AK,65.0584,-149.6912
US,99760,Nenana,AK,64.5577,-149.0867
US,99765,Nulato,AK,64.7194,-158.1031
US,99767,Rampart,AK,65.509,-150.1619
US,99768,Ruby,AK,64.7201,-155.5039
US,99774,Stevens Village,AK,66.0064,-149.0908
US,99777,Tanana,AK,65.1719,-152.0789
US,99781,Venetie,AK,67.0104,-146.4137
US,99788,Chalkyitsik,AK,66.6544,-143.7222
US,36003,Autaugaville,AL,32.4625,-86.7149
US,36006,Billingsley,AL,32.6596,-86.7178
US,36008,Booth,AL,32.5016,-86.5727
US,36051,Marbury,AL,32.6841,-86.4946
US,36066,Prattville,AL,32.4787,-86.43
US,36067,Prattville,AL,32.4715,-86.4831
US,36068,Prattville,AL,32.464,-86.4597
US,36749,Jones,AL,32.5104,-86.8138
US,36507,Bay Minette,AL,30.8635,-87.7644
US,36511,Bon Secour,AL,30.3128,-87.7431
US,36526,Daphne,AL,30.6197,-87.8895
US,36527,Spanish Fort,AL,30.6959,-87.8867
US,36530,Elberta,AL,30.3942,-87.589
US,36532,Fairhope,AL,30.5012,-87.8835
US,36533,Fairhope,AL,30.4841,-87.8606
US,36535,Foley,AL,30.4007,-87.6857
US,36536,Foley,AL,30.4222,-87.7064
US,36542,Gulf Shores,AL,30.2717,-87.7589
US,36547,Gulf Shores,AL,30.246,-87.7008
US,36549,Lillian,AL,30.3972,-87.4745
US,36550,Little River,AL,31.2246,-87.7548
US,36551,Loxley,AL,30.618,-87.7562
US,36555,Magnolia Springs,AL,30.3996,-87.7761
US,36559,Montrose,AL,30.5623,-87.9005
US,36561,Orange Beach,AL,30.281,-87.5815
US,36562,Perdido,AL,31.0403,-87.6667
US,36564,Point Clear,AL,30.4741,-87.9192
